Snow Making_ac,ticketPred
500.0,79.19956616948181
510.0,79.45737866948181
520.0,79.71519116948181
530.0,79.97300366948181
540.0,80.23081616948181
550.0,80.48862866948181
560.0,80.74644116948181
570.0,80.99644116948181
580.0,81.25425366948181
590.0,81.51206616948181
600.0,81.76987866948181
610.0,82.02769116948181
620.0,82.28550366948181
630.0,82.54331616948181
640.0,82.79331616948181
650.0,83.05894116948181
660.0,83.30894116948181
670.0,83.56675366948181
680.0,83.82456616948181
690.0,84.08237866948181
700.0,84.34019116948181
710.0,84.59019116948181
720.0,84.85581616948181
730.0,85.10581616948181
740.0,85.36362866948181
750.0,85.62144116948181
760.0,85.87925366948181
770.0,86.13706616948181
780.0,86.39487866948181
790.0,86.65269116948181
800.0,86.90269116948181
810.0,87.16050366948181
820.0,87.41831616948181
830.0,87.67612866948181
840.0,87.93394116948181
850.0,88.19175366948181
860.0,88.44956616948181
870.0,88.69956616948181
880.0,88.96519116948181
890.0,89.21519116948181
900.0,89.47300366948181
910.0,89.73081616948181
920.0,89.98862866948181
930.0,90.24644116948181
940.0,90.49644116948181
950.0,90.76206616948181
960.0,91.01206616948181
970.0,91.26987866948181
980.0,91.52769116948181
990.0,91.78550366948181
1000.0,92.04331616948181
1010.0,92.30112866948181
1020.0,92.55894116948181
1030.0,92.80894116948181
1040.0,93.06675366948181
1050.0,93.32456616948181
1060.0,93.58237866948181
1070.0,93.84019116948181
1080.0,94.09800366948181
1090.0,94.35581616948181
1100.0,94.60581616948181
1110.0,94.87144116948181
1120.0,95.12144116948181
1130.0,95.37925366948181
1140.0,95.63706616948181
1150.0,95.89487866948181
1160.0,96.15269116948181
1170.0,96.40269116948181
1180.0,96.66831616948181
1190.0,96.91831616948181
1200.0,97.17612866948181
