Runs,ticketPred
95,81.22300366948181
96,81.27769116948181
97,81.33237866948181
98,81.38706616948181
99,81.44175366948181
100,81.49644116948181
101,81.55112866948181
102,81.60581616948181
103,81.66050366948181
104,81.71519116948181
105,81.76987866948181
106,81.82456616948181
107,81.87925366948181
108,81.93394116948181
109,81.98862866948181
110,82.04331616948181
111,82.09800366948181
112,82.15269116948181
113,82.20737866948181
114,82.26206616948181
115,82.31675366948181
116,82.37144116948181
117,82.42612866948181
118,82.48081616948181
119,82.53550366948181
120,82.59019116948181
121,82.64487866948181
122,82.69956616948181
123,82.75425366948181
124,82.80894116948181
125,82.86362866948181
126,82.91831616948181
127,82.97300366948181
128,83.02769116948181
129,83.08237866948181
130,83.13706616948181
131,83.18394116948181
132,83.24644116948181
133,83.29331616948181
134,83.35581616948181
135,83.40269116948181
136,83.46519116948181
137,83.51206616948181
138,83.57456616948181
139,83.62144116948181
140,83.68394116948181
141,83.73081616948181
142,83.79331616948181
143,83.84019116948181
144,83.89487866948181
145,83.94956616948181
146,84.00425366948181
147,84.05894116948181
148,84.11362866948181
149,84.16831616948181
150,84.22300366948181
151,84.27769116948181
152,84.33237866948181
153,84.38706616948181
154,84.44175366948181
